 Cm  |    A     B |  Out | Cout  OF | Case
----------------------------------------------------
 101 | 1010  1100 | 0111 |    1   1 | NAND
 100 | 1010  1100 | 1000 |    1   1 | AND
 110 | 1010  1100 | 0001 |    1   1 | NOR
 111 | 1010  1100 | 1110 |    1   1 | OR
 010 | 1010  1100 | 0110 |    1   1 | XOR
------------------------------------------------------------------------
 Cm  |    A     B |  Out | Cout  OF | Case
 000 | 1111  1111 | 1110 |    1   0 | ADD
 000 | 1011  1011 | 0110 |    1   1 | ADD
 000 | 1110  1100 | 1010 |    1   0 | ADD
 000 | 1111  1000 | 0111 |    1   1 | ADD
 000 | 0011  0011 | 0110 |    0   0 | ADD
 000 | 0101  0101 | 1010 |    0   1 | ADD
 000 | 0001  0010 | 0011 |    0   0 | ADD
 000 | 0111  0010 | 1001 |    0   1 | ADD
 000 | 0001  1000 | 1001 |    0   0 | ADD
 000 | 0001  1111 | 0000 |    1   0 | ADD
 000 | 0111  1001 | 0000 |    1   0 | ADD
 000 | 0000  0000 | 0000 |    0   0 | ADD
 000 | 0000  1111 | 1111 |    0   0 | ADD
 000 | 0000  0111 | 0111 |    0   0 | ADD
 000 | 1111  0000 | 1111 |    0   0 | ADD
 000 | 0111  0000 | 0111 |    0   0 | ADD
------------------------------------------------------------------------
 Cm  |    A     B |  Out | Cout  OF | Case
 001 | 1111  0001 | 1110 |    1   0 | SUB
 001 | 1011  0101 | 0110 |    1   1 | SUB
 001 | 1110  0100 | 1010 |    1   0 | SUB
 001 | 1111  1000 | 0111 |    1   0 | SUB
 001 | 0011  1101 | 0110 |    0   0 | SUB
 001 | 0101  1011 | 1010 |    0   1 | SUB
 001 | 0001  1110 | 0011 |    0   0 | SUB
 001 | 0111  1110 | 1001 |    0   1 | SUB
 001 | 0001  1000 | 1001 |    0   1 | SUB
 001 | 0001  0001 | 0000 |    1   0 | SUB
 001 | 0111  0111 | 0000 |    1   0 | SUB
 001 | 0000  0000 | 0000 |    1   0 | SUB
 001 | 0000  0001 | 1111 |    0   0 | SUB
 001 | 0000  1001 | 0111 |    0   0 | SUB
 001 | 1111  0000 | 1111 |    1   0 | SUB
 001 | 0111  0000 | 0111 |    1   0 | SUB
------------------------------------------------------------------------
 Cm  |    A     B |  Out | Cout  OF | Case
 011 | 0001  0011 | 0001 |    0   0 | SLT
 011 | 1011  0010 | 0001 |    1   0 | SLT
 011 | 1100  1111 | 0001 |    0   0 | SLT
 011 | 0101  0011 | 0000 |    1   0 | SLT
 011 | 0010  1101 | 0000 |    0   0 | SLT
 011 | 1111  1010 | 0000 |    1   0 | SLT
 011 | 1100  0101 | 0001 |    1   1 | SLT
 011 | 0101  1100 | 0000 |    0   1 | SLT
----------------------------------------------------
 Cm  |    A     B | A - B | Zero | Case
 001 | 1111  1111 |  0000 |    1 | A-B==0
 001 | 1111  0000 |  1111 |    0 | A-B!=0

