 Cm  |    A     B |  Out | Cout  OF | Case
----------------------------------------------------
 101 | 1010  1100 | 0111 |    x   x | NAND
 100 | 1010  1100 | 1000 |    x   x | AND
 110 | 1010  1100 | 0111 |    x   x | NOR
 111 | 1010  1100 | 1x10 |    x   x | OR
 010 | 1010  1100 | 0000 |    x   x | XOR



 Cm  |    A     B |  Out | Cout  OF | Case
----------------------------------------------------
 101 | 1010  1100 | 0000 |    x   x | NAND
 100 | 1010  1100 | 0000 |    x   x | AND
 110 | 1010  1100 | 0000 |    x   x | NOR
 111 | 1010  1100 | 0000 |    x   x | OR
 010 | 1010  1100 | 0110 |    x   x | XOR

 Cm  |    A     B |  Out | Cout  OF | Case
----------------------------------------------------
 101 | 1010  1100 | 0111 |    1   1 | NAND
 100 | 1010  1100 | 1000 |    1   1 | AND
 110 | 1010  1100 | 0001 |    1   1 | NOR
 111 | 1010  1100 | 1110 |    1   1 | OR
 010 | 1010  1100 | 0110 |    1   1 | XOR




 Cm  |    A     B |  Out | Cout  OF | Case
----------------------------------------------------
 101 | 1010  1100 | 0111 |    x   x | NAND
 100 | 1010  1100 | 1000 |    x   x | AND
 110 | 1010  1100 | 0001 |    x   x | NOR
 111 | 1010  1100 | 1110 |    x   x | OR
 010 | 1010  1100 | 0110 |    x   x | XOR

 000 | 1111  0001 | 0001 |    1   0 | ADD
 000 | 1011  0101 | 0001 |    1   0 | ADD
 000 | 1110  0100 | 0011 |    1   0 | ADD
 000 | 1111  1000 | 0110 |    1   1 | ADD
 000 | 0011  1101 | 0000 |    1   0 | ADD
 000 | 0101  1011 | 0000 |    1   0 | ADD
 000 | 0001  1110 | 1110 |    0   0 | ADD
 000 | 0111  1110 | 0100 |    1   0 | ADD
 000 | 0001  1000 | 1000 |    0   0 | ADD
 000 | 0001  0001 | 0010 |    0   0 | ADD
 000 | 0111  0111 | 1110 |    0   1 | ADD
 000 | 0000  0000 | 0000 |    0   0 | ADD
 000 | 0000  0001 | 0000 |    0   0 | ADD
 000 | 0000  1001 | 1000 |    0   0 | ADD
 000 | 1111  0000 | 1110 |    0   0 | ADD
 000 | 0111  0000 | 0110 |    0   0 | ADD

 Cm  |    A     B |  Out | Cout  OF | Case
 011 | 0001  0011 | 0000 |    0   0 | SLT
 011 | 1011  0010 | 0000 |    1   0 | SLT
 011 | 1100  1111 | 0000 |    0   0 | SLT
 011 | 0101  0011 | 0000 |    1   0 | SLT
 011 | 0010  1101 | 0000 |    0   0 | SLT
 011 | 1111  1010 | 0000 |    1   0 | SLT
 011 | 1100  0101 | 0001 |    1   1 | SLT
 011 | 0101  1100 | 0001 |    0   1 | SLT

 Cm  |        A         B |      Out | Cout  OF | Case
------------------------------------------------------
 101 | cccccccc  dddddddd | 33333333 |    1   0 | NAND
 100 | cccccccc  dddddddd | cccccccc |    1   0 | AND
 110 | cccccccc  dddddddd | 22222222 |    1   0 | NOR
 111 | cccccccc  dddddddd | dddddddd |    1   0 | OR
 010 | cccccccc  dddddddd | 11111111 |    1   0 | XOR

 Cm  |        A         B |      Out | Cout  OF | Case
------------------------------------------------------
 101 | aaaaaaaa  cccccccc | 77777777 |    1   1 | NAND
 100 | aaaaaaaa  cccccccc | 88888888 |    1   1 | AND
 110 | aaaaaaaa  cccccccc | 11111111 |    1   1 | NOR
 111 | aaaaaaaa  cccccccc | eeeeeeee |    1   1 | OR
 010 | aaaaaaaa  cccccccc | 66666666 |    1   1 | XOR

